Name,Stars,City,Country,Cuisine,Chef,Price,Website,Michelin Guide page,Address
Le Clos des Sens,3 Stars,Annecy,France,Creative,,€€€€,https://www.closdessens.com,https://guide.michelin.com/en/auvergne-rhone-alpes/annecy/restaurant/le-clos-des-sens,"13 rue Jean-Mermoz - à Annecy-le-Vieux, Annecy, 74940, France"
La Villa Madie,3 Stars,Cassis,France,Creative,,€€€€,https://www.lavillamadie.com,https://guide.michelin.com/en/provence-alpes-cote-dazur/cassis/restaurant/la-villa-madie,"Avenue de Revestel, Cassis, 13260, France"
Maison Lameloise,3 Stars,Chagny,France,Modern Cuisine,,€€€€,https://www.lameloise.fr/,https://guide.michelin.com/en/bourgogne-franche-comte/chagny/restaurant/maison-lameloise,"36 place d'Armes, Chagny, 71150, France"
Le 1947 à Cheval Blanc,3 Stars,Courchevel,France,Creative,,€€€€,https://www.chevalblanc.com/fr/maison/courchevel/,https://guide.michelin.com/en/auvergne-rhone-alpes/courchevel/restaurant/le-1947,"Cheval Blanc, Le Jardin Alpin, Courchevel 1850, Courchevel, 73120, France"
Les Prés d'Eugénie - Michel Guérard,3 Stars,Eugénie-les-Bains,France,Classic Cuisine,Michel Guérard,€€€€,https://lespresdeugenie.com/les-tables/restaurant-etoile-michel-guerard/,https://guide.michelin.com/en/nouvelle-aquitaine/eugnie-les-bains/restaurant/les-pres-d-eugenie-michel-guerard,"Place de l'Impératrice, Eugénie-les-Bains, 40320, France"
Auberge du Vieux Puits,3 Stars,Fontjoncouse,France,Creative,,€€€€,https://www.aubergeduvieuxpuits.fr,https://guide.michelin.com/en/occitanie/fontjoncouse/restaurant/auberge-du-vieux-puits,"5 avenue Saint-Victor, Fontjoncouse, 11360, France"
Les Morainières,3 Stars,Jongieux,France,"Creative, Modern Cuisine",,€€€€,https://www.les-morainieres.com,https://guide.michelin.com/en/auvergne-rhone-alpes/jongieux/restaurant/les-morainieres,"1400 route de Marestel, Jongieux, 73170, France"
La Marine,3 Stars,L'Herbaudière,France,"Creative, Seafood",,€€€€,https://www.alexandrecouillon.com,https://guide.michelin.com/en/pays-de-la-loire/l-herbaudire/restaurant/la-marine3780,"3 rue Marie-Lemonnier, L'Herbaudière, 85330, France"
Christopher Coutanceau,3 Stars,La Rochelle,France,"Seafood, Modern Cuisine",Christopher Coutanceau,€€€€,https://christophercoutanceau.com,https://guide.michelin.com/en/nouvelle-aquitaine/la-rochelle/restaurant/christopher-coutanceau,"Plage de la Concurrence, La Rochelle, 17000, France"
La Table du Castellet,3 Stars,Le Castellet,France,Creative,,€€€€,https://www.hotelducastellet.net/,https://guide.michelin.com/en/provence-alpes-cote-dazur/le-castellet/restaurant/la-table-du-castellet,"3001 route des Hauts-du-Camp, au Circuit Paul Ricard, Le Castellet, 83330, France"
L'Oustau de Baumanière,3 Stars,Les Baux-de-Provence,France,Creative,,€€€€,https://www.baumaniere.com,https://guide.michelin.com/en/provence-alpes-cote-dazur/les-baux-de-provence/restaurant/l-oustau-de-baumaniere,"500 route de Baumanière, Les Baux-de-Provence, 13520, France"
AM par Alexandre Mazzia,3 Stars,Marseille,France,Creative,Alexandre Mazzia,€€€€,https://www.alexandre-mazzia.com/,https://guide.michelin.com/en/provence-alpes-cote-dazur/marseille/restaurant/am-par-alexandre-mazzia,"9 rue François-Rocca, Marseille, 13008, France"
Le Petit Nice,3 Stars,Marseille,France,Seafood,,€€€€,https://www.passedat.fr,https://guide.michelin.com/en/provence-alpes-cote-dazur/marseille/restaurant/le-petit-nice,"17 rue des Braves (Anse de Maldormé), Marseille, 13007, France"
Flocons de Sel,3 Stars,Megève,France,Modern Cuisine,,€€€€,https://www.floconsdesel.com,https://guide.michelin.com/en/auvergne-rhone-alpes/megve/restaurant/flocons-de-sel,"1775 route du Leutaz, Le Leutaz, Megève, 74120, France"
Mirazur,3 Stars,Menton,France,Creative,,€€€€,https://www.mirazur.fr/,https://guide.michelin.com/en/provence-alpes-cote-dazur/menton/restaurant/mirazur,"30 avenue Aristide-Briand, Menton, 06500, France"
Troisgros - Le Bois sans Feuilles,3 Stars,Ouches,France,Creative,,€€€€,https://www.troisgros.fr/,https://guide.michelin.com/en/auvergne-rhone-alpes/ouches/restaurant/troisgros-le-bois-sans-feuilles,"728 route de Villerest, Ouches, 42155, France"
Alléno Paris au Pavillon Ledoyen,3 Stars,Paris,France,Creative,,€€€€,https://www.yannick-alleno.com/les-etablissements-du-groupe/alleno-paris,https://guide.michelin.com/en/ile-de-france/paris/restaurant/alleno-paris-au-pavillon-ledoyen,"8 avenue Dutuit, Paris, 75008, France"
